,Energía Solar
427,1271710.84
506,258827.09
294,1020901.62
1274,38878.26
258,1210240.6
494,454148.5
440,33803.2
975,4658.32
196,575794.58
20,2491.94
820,25426.85
1230,1280236.91
663,30015.15
69,764895.76
304,924551.66
1320,68206.73
310,1189010.75
1218,837882.81
774,306941.98
410,934898.48
1075,569.9
957,381615.25
1006,4491.47
1215,610852.23
901,4453.85
609,28105.67
1067,350.63
766,226859.21
1091,248.51
508,28460.14
438,30784.8
752,254803.34
1143,31427.45
1166,38040.01
419,624292.5
460,35998.34
83,471628.41
1316,39150.51
1009,8403.59
557,16149.81
935,12305.57
686,41121.07
127,940804.85
465,44123.75
670,30072.79
673,35168.39
99,1186740.06
965,148712.07
1345,254864.75
555,14828.62
1189,330519.61
1071,306.35
1068,245.29
12,1937.83
441,31427.45
878,338392.44
619,28074.4
47,837882.81
187,32063.37
464,42579.84
642,660450.83
297,1311434.34
943,287106.99
475,287106.99
770,157365.79
606,20888.18
1317,46942.68
751,248116.92
768,157156.86
1241,924551.66
1376,456392.55
177,49255.48
1072,471.39
286,815081.48
373,1061244.16
17,871.45
1093,115920.81
361,1020039.28
676,35078.38
1240,582705.3
1122,194841.56
1389,516544.33
247,656978.9
200,619850.31
111,1195413.9
843,55152.21
581,19027.92
849,29369.89
24,2790.28
397,728490.93
817,72.34
1162,36685.53
1304,33521.51
681,26402.86
1201,258415.29
380,624292.5
480,224824.92
930,19356.97
242,836786.21
227,932767.52
1098,216082.7
1254,38270.68
103,952286.75
932,30412.46
76,1189010.75
1086,574.82
317,471628.41
776,292734.07
95,498233.56
483,135525.93
967,249860.1
170,19523.79
84,728490.93
1227,605983.59
879,381615.25
646,1276864.64
498,194841.56
783,25.57
209,643468.0
303,764895.76
264,624292.5
543,38878.26
1358,362366.11
623,12305.57
130,640026.23
710,892010.71
1265,18310.55
893,743115.28
836,24202.34
570,15785.45
705,429269.28
1225,446892.68
1196,354541.65
1293,61104.9
140,1426192.75
880,400208.5
129,805476.73
527,40015.39
825,35804.48
1191,496475.32
63,1311434.34
672,30784.8
876,173091.12
1174,142219.18
732,838964.02
1094,97910.32
1115,492189.24
117,575794.58
708,728490.93
411,1061244.16
298,892491.71
731,624292.5
912,12129.51
916,17351.58
51,815081.48
389,886609.47
862,103360.6
217,1096965.53
114,1544518.42
5,1752.56
689,34631.11
636,656978.9
58,605983.59
293,1280236.91
1283,55739.29
493,338892.42
1175,206100.92
871,190680.39
933,24999.95
990,2060.03
771,228628.69
338,952286.75
381,838964.02
1053,398.85
349,1271710.84
166,43160.33
138,1170416.61
1308,77215.33
639,658230.97
777,231740.06
740,886609.47
56,446892.68
1007,6326.8
810,35.34
891,392563.65
929,16257.05
393,429269.28
1349,492189.24
158,18814.61
524,18310.55
727,952286.75
444,26420.65
1089,636.36
1284,53135.65
357,728490.93
21,2445.24
762,275779.45
39,655593.0
918,27239.61
563,6441.39
921,28105.67
1258,43160.33
453,39240.62
910,12859.99
966,194841.56
598,12859.99
844,43677.35
1256,41671.78
1084,398.08
43,423031.92
195,423685.25
273,468401.25
903,7966.9
1273,40057.97
1164,40603.14
873,135525.93
1386,496475.32
545,30665.28
171,21452.85
711,836786.21
738,1544518.42
950,173499.91
320,836786.21
697,40603.14
1321,84743.89
763,304952.81
1199,184258.39
1060,506.84
634,1020039.28
1339,190680.39
818,25.88
882,451443.66
19,1614.67
141,1300447.38
359,836786.21
284,1113144.44
1141,35168.39
1379,181861.05
212,456649.59
128,1093934.35
1373,425807.08
1078,471.87
675,31427.45
201,792766.77
335,1276864.64
553,15163.5
388,1271710.84
1400,533817.89
40,468401.25
829,41528.99
1270,45022.02
1155,39240.62
577,8149.04
414,1210240.6
50,1113144.44
530,52176.51
175,33493.47
1231,1159315.01
191,53135.65
18,1273.14
569,17649.25
53,524751.0
213,655489.95
608,28998.06
575,6362.64
734,984439.03
1136,20383.08
922,21966.25
1183,239349.85
536,25827.32
1323,90010.07
316,429269.28
1213,423031.92
889,249860.1
1137,32802.91
251,498233.56
30,1109.51
314,458843.05
1346,338392.44
487,254864.75
1366,208580.35
405,658230.97
255,1186740.06
41,453767.66
746,136930.64
834,25013.9
1380,165417.86
416,1138975.84
522,21452.85
983,6148.64
1207,445332.24
1382,166676.59
765,291416.09
36,2813.71
712,1020039.28
1222,690473.98
216,1170416.61
1338,319043.04
1306,54643.47
1151,34484.44
560,6895.91
1059,423.99
1180,514099.23
1384,330519.61
1278,25827.32
892,590953.59
645,1186740.06
178,45022.02
758,172479.66
1104,224824.92
1364,258827.09
180,48893.38
915,13752.01
786,56.44
1200,265083.05
977,2063.32
997,7289.48
1057,322.26
1402,445332.24
169,28344.31
1287,50650.61
1271,52176.51
567,16210.54
124,1015812.2
252,666607.33
1281,56048.19
948,224824.92
115,1271710.84
469,115920.81
467,31257.74
1116,451443.66
696,42637.26
654,838964.02
1247,691729.06
1063,527.55
749,237037.89
132,643468.0
59,1020901.62
168,34655.08
449,34484.44
1390,374418.12
231,1080605.88
1330,103360.6
9,2425.61
1169,31257.74
504,641598.02
282,1142410.73
998,9231.74
1233,1311434.34
981,4709.32
1327,115920.81
695,36685.53
385,1517930.5
1214,352727.66
292,730322.29
167,43280.85
526,33493.47
713,947918.31
1391,354541.65
1324,79679.07
614,9607.43
1073,588.89
544,45930.11
1343,173091.12
163,42918.12
448,30530.78
1102,342781.07
1319,63786.13
735,1195413.9
516,43160.33
207,1093934.35
677,27647.28
159,26358.77
837,30779.94
1132,25300.85
219,1300447.38
984,5781.86
311,691729.06
326,592288.19
1279,32063.37
446,24743.62
136,655489.95
226,814686.85
931,28074.4
274,655593.0
1335,271396.44
428,886609.47
951,135525.93
244,1020039.28
714,656978.9
1,802.39
125,1035900.65
778,196550.2
1099,287106.99
1267,33493.47
491,492189.24
739,1271710.84
1286,30665.28
353,458843.05
722,1186740.06
790,67.69
1123,249860.1
699,44123.75
704,458843.05
1371,312663.14
1401,499960.6
887,148712.07
719,666607.33
1167,42579.84
620,30412.46
759,214375.43
643,666607.33
584,11151.81
1219,1142410.73
602,10047.07
833,26976.57
1301,33977.37
540,56048.19
107,624292.5
1176,312663.14
628,429269.28
827,34452.33
961,338892.42
993,3274.68
1195,374418.12
230,1351728.64
437,30789.81
884,454148.5
970,590953.59
442,35078.38
854,56412.19
1394,184258.39
1184,181861.05
715,767192.8
682,30530.78
1109,112346.49
809,31.7
761,250838.31
110,984439.03
896,258827.09
452,41121.07
559,6944.0
1232,1397637.03
1216,770414.16
1074,527.1
868,342781.07
224,549731.01
150,1306088.79
1210,468401.25
45,610852.23
1172,182697.33
256,1061244.16
422,1195413.9
321,892010.71
466,38040.01
436,30072.79
660,1544518.42
1249,22511.7
721,660450.83
580,15591.4
72,1011231.94
15,971.43
1224,602361.91
548,6625.64
423,984439.03
208,640026.23
851,53275.89
241,849844.87
881,492189.24
1239,764895.76
979,1779.97
375,1210240.6
801,63.82
329,498233.56
1171,208580.35
507,22511.7
908,23503.24
299,1057979.02
1148,24743.62
225,756471.44
179,52176.51
813,77.43
447,26402.86
782,23.07
1297,66724.83
630,471628.41
1177,383961.2
1181,456392.55
1269,49255.48
229,1089935.83
38,899.44
864,216082.7
566,15013.22
1385,373551.64
101,1276864.64
999,8425.26
629,849844.87
865,287106.99
269,1740580.92
14,1130.18
351,603256.87
669,32802.91
431,23793.13
186,25827.32
936,170980.18
22,2499.03
720,498233.56
1325,57307.99
927,15616.35
627,496101.24
1370,206100.92
764,328711.2
1105,190680.39
210,571504.69
1126,590953.59
779,197272.3
568,15731.77
1245,1394290.4
528,49255.48
954,173091.12
832,38605.56
281,837882.81
23,2921.91
512,21923.65
1359,392563.65
308,1456384.52
1103,319043.04
429,30015.15
897,15261.73
383,984439.03
857,27956.54
146,549731.01
971,743115.28
1291,36711.51
97,660450.83
368,498233.56
519,43280.85
135,577056.97
1203,417250.13
1259,43280.85
1298,68185.35
958,400208.5
1294,68680.9
