,Energía Solar
302,487465.84
70,582705.3
817,72.34
298,892491.71
234,603256.87
726,1210240.6
853,62273.94
467,31257.74
1013,2535.24
332,934898.48
865,287106.99
579,14340.98
240,728490.93
488,338392.44
990,2060.03
1111,254864.75
926,9607.43
49,895975.88
414,1210240.6
453,39240.62
845,37681.37
452,41121.07
1106,173499.91
173,18310.55
921,28105.67
319,849844.87
82,429269.28
1058,200.17
1142,33803.2
1293,61104.9
33,2149.55
674,33803.2
253,660450.83
987,6178.76
1012,6629.45
284,1113144.44
1283,55739.29
793,43.28
618,19356.97
508,28460.14
691,30893.29
411,1061244.16
716,592288.19
50,1113144.44
1054,237.64
614,9607.43
764,328711.2
98,934898.48
703,496101.24
758,172479.66
917,20888.18
1250,18814.61
87,892010.71
285,690473.98
38,899.44
217,1096965.53
230,1351728.64
1312,58812.06
621,24999.95
968,362366.11
872,173499.91
313,496101.24
481,190680.39
256,1061244.16
1139,30789.81
271,1544518.42
412,1186740.06
949,190680.39
330,666607.33
99,1186740.06
1145,27647.28
966,194841.56
1307,65014.2
1300,47330.7
498,194841.56
280,770414.16
209,643468.0
598,12859.99
1190,373551.64
421,833878.19
462,42637.26
1348,400208.5
752,254803.34
877,254864.75
1194,516544.33
318,728490.93
788,77.89
765,291416.09
887,148712.07
487,254864.75
766,226859.21
795,24.74
1168,34631.11
205,1019749.6
232,1002033.31
102,1210240.6
670,30072.79
681,26402.86
954,173091.12
754,184830.04
1132,25300.85
531,48893.38
259,952286.75
801,63.82
556,17549.28
248,592288.19
907,21333.9
204,1035900.65
251,498233.56
1308,77215.33
768,157156.86
35,2991.0
712,1020039.28
1191,496475.32
1302,37464.86
377,1138975.84
1331,162551.11
1130,258827.09
1154,41121.07
537,32063.37
580,15591.4
791,60.53
721,660450.83
335,1276864.64
236,458843.05
1115,492189.24
771,228628.69
115,1271710.84
1008,6069.08
1161,35998.34
826,38886.97
402,767192.8
451,34657.09
317,471628.41
1363,588152.75
988,3798.67
1064,502.48
289,602361.91
25,1884.02
509,18814.61
1281,56048.19
212,456649.59
224,549731.01
836,24202.34
1074,527.1
1268,40015.39
296,1159315.01
1126,590953.59
235,496101.24
855,55802.41
1287,50650.61
976,2473.58
554,16283.12
186,25827.32
857,27956.54
494,454148.5
899,10574.95
245,947918.31
244,1020039.28
226,814686.85
74,1456384.52
17,871.45
689,34631.11
1009,8403.59
1291,36711.51
65,892491.71
480,224824.92
40,468401.25
80,458843.05
725,1276864.64
669,32802.91
1266,24597.11
241,849844.87
607,23962.93
759,214375.43
92,592288.19
1267,33493.47
1091,248.51
290,605983.59
578,11638.47
1112,338392.44
724,1061244.16
90,767192.8
110,984439.03
1349,492189.24
231,1080605.88
1057,322.26
1127,743115.28
843,55152.21
829,41528.99
568,15731.77
820,25426.85
547,7886.69
731,624292.5
986,7114.9
1114,400208.5
852,48496.02
837,30779.94
591,5541.38
20,2491.94
571,10811.73
1170,268814.65
977,2063.32
395,471628.41
31,1841.65
449,34484.44
352,496101.24
1282,57694.45
1155,39240.62
824,22502.88
1097,162551.11
756,144656.98
201,792766.77
960,451443.66
1066,294.4
464,42579.84
1339,190680.39
946,342781.07
225,756471.44
713,947918.31
811,71.2
1184,181861.05
686,41121.07
1265,18310.55
790,67.69
873,135525.93
210,571504.69
1001,5277.86
1160,34640.23
1185,165417.86
213,655489.95
851,53275.89
797,25.76
45,610852.23
998,9231.74
1122,194841.56
560,6895.91
898,11106.57
870,224824.92
1071,306.35
585,11106.57
1285,45930.11
981,4709.32
279,610852.23
889,249860.1
896,258827.09
1189,330519.61
743,127049.72
458,30893.29
490,400208.5
76,1189010.75
956,338392.44
975,4658.32
775,320439.13
1320,68206.73
68,487465.84
192,55739.29
1277,24964.97
671,30789.81
550,6603.64
995,7158.13
1164,40603.14
191,53135.65
802,55.78
529,45022.02
1318,45440.93
371,934898.48
1207,445332.24
818,25.88
678,26420.65
258,1210240.6
974,258827.09
316,429269.28
176,40015.39
269,1740580.92
1004,2607.79
555,14828.62
673,35168.39
1167,42579.84
502,590953.59
935,12305.57
849,29369.89
381,838964.02
514,42918.12
1205,533817.89
597,18952.38
29,921.4
526,33493.47
812,62.78
477,271396.44
841,52864.81
189,56048.19
23,2921.91
695,36685.53
114,1544518.42
1103,319043.04
1317,46942.68
36,2813.71
1109,112346.49
622,22037.98
760,116562.54
1181,456392.55
398,836786.21
623,12305.57
992,2734.66
478,342781.07
455,34631.11
1270,45022.02
593,8855.24
1152,34190.09
169,28344.31
928,10437.24
773,244350.58
804,61.88
384,1195413.9
198,443761.73
930,19356.97
525,24597.11
1105,190680.39
953,112346.49
329,498233.56
427,1271710.84
454,36088.27
1288,42652.54
4,1035.82
108,838964.02
736,1517930.5
423,984439.03
697,40603.14
1195,374418.12
506,258827.09
1294,68680.9
891,392563.65
286,815081.48
1118,454148.5
781,22.47
1102,342781.07
544,45930.11
948,224824.92
728,1138975.84
344,984439.03
489,381615.25
997,7289.48
717,658230.97
772,187852.03
